layer,feature,current_path,backup_path,legacy_path,status,notes
tenants,people,artifacts/rentrix/src/features/tenants,.migration-backup/src/ui/Tenants.tsx,artifacts/rentrix/legacy-src/ui/Tenants.tsx,KEEP_CURRENT,"Current tenants derives from people service."
contracts,contracts,artifacts/rentrix/src/features/contracts,.migration-backup/src/ui/Contracts.tsx,artifacts/rentrix/legacy-src/ui/Contracts.tsx,KEEP_CURRENT,"Current contracts are substantial and tested."
financials,finance shell,artifacts/rentrix/src/features/financials,.migration-backup/src/ui/Finance.tsx,artifacts/rentrix/legacy-src/ui/Finance.tsx,KEEP_CURRENT,"Do not port old nested React Router finance shell."
financials,invoices,artifacts/rentrix/src/features/financials/invoices,.migration-backup/src/ui/Invoices.tsx,artifacts/rentrix/legacy-src/ui/Invoices.tsx,MERGE_SELECTIVELY,"Current invoice workspace exists; old UI has richer components."
financials,receipts,artifacts/rentrix/src/features/financials/receipts,.migration-backup/src/services/receiptService.ts,artifacts/rentrix/legacy-src/services/receiptService.ts,KEEP_CURRENT,"Current payments/receipts tested."
financials,expenses,artifacts/rentrix/src/features/financials/expenses,.migration-backup/src/ui/Financials.tsx,artifacts/rentrix/legacy-src/ui/Financials.tsx,KEEP_CURRENT,"Current expenses route and tests exist."
financials,arrears,artifacts/rentrix/src/features/financials/arrears,.migration-backup/src/ui/financial/Arrears.tsx,artifacts/rentrix/legacy-src/ui/financial/Arrears.tsx,MERGE_SELECTIVELY,"Current arrears shell/components exist; old has alternate workflow."
accounting,accounting,artifacts/rentrix/src/features/accounting/accounting-page.tsx,.migration-backup/src/ui/Accounting.tsx,artifacts/rentrix/legacy-src/ui/Accounting.tsx,ONLY_HISTORICAL_BETTER,"Current page is placeholder."
accounting,general ledger,,.migration-backup/src/ui/GeneralLedger.tsx,artifacts/rentrix/legacy-src/ui/GeneralLedger.tsx,ONLY_HISTORICAL,"Requires read-only schema verification."
audit,audit log,,.migration-backup/src/ui/AuditLog.tsx,artifacts/rentrix/legacy-src/ui/AuditLog.tsx,ONLY_HISTORICAL,"Good read-only pilot after adapter."
audit,data integrity,,.migration-backup/src/ui/DataIntegrityAudit.tsx,artifacts/rentrix/legacy-src/ui/DataIntegrityAudit.tsx,ONLY_HISTORICAL,"Admin-only and migration action must be disabled initially."
crm,lands,,.migration-backup/src/ui/Lands.tsx,artifacts/rentrix/legacy-src/ui/Lands.tsx,ONLY_HISTORICAL,"Contains writes and journal side effects; port later."
crm,leads,,.migration-backup/src/ui/Leads.tsx,artifacts/rentrix/legacy-src/ui/Leads.tsx,ONLY_HISTORICAL,"CRUD and WhatsApp composer dependency."
crm,communication,,.migration-backup/src/ui/CommunicationHub.tsx,artifacts/rentrix/legacy-src/ui/CommunicationHub.tsx,ONLY_HISTORICAL,"Notification workflow depends on legacy dataService."
crm,commissions,,.migration-backup/src/ui/Commissions.tsx,artifacts/rentrix/legacy-src/ui/Commissions.tsx,ONLY_HISTORICAL,"Finance payout side effects need verification."
assistant,smart assistant,,.migration-backup/src/ui/SmartAssistant.tsx,artifacts/rentrix/legacy-src/ui/SmartAssistant.tsx,REFERENCE_ONLY,"Gemini/service key assumptions; reimplement against current architecture if needed."
settings,settings,artifacts/rentrix/src/features/settings,.migration-backup/src/ui/System.tsx,artifacts/rentrix/legacy-src/ui/System.tsx,KEEP_CURRENT,"Current settings service normalizes company settings."
settings,submodules,artifacts/rentrix/src/features/settings/settings-page.tsx,.migration-backup/src/components/settings,artifacts/rentrix/legacy-src/components/settings,REFERENCE_ONLY,"Historical submodules are useful copy/UX references only."
printing,documents,artifacts/rentrix/src/features/contracts/contractDocumentsShell.tsx,.migration-backup/src/components/print,artifacts/rentrix/legacy-src/components/print,MERGE_SELECTIVELY,"Port after permission/XSS review."
database,supabase types,artifacts/rentrix/src/types/database.ts,.migration-backup/supabase,artifacts/rentrix/legacy-src/types/database.ts,REFERENCE_ONLY,"Do not execute SQL in audit."
ci,workflows,.github,.migration-backup/.github,,KEEP_CURRENT,"Preserve current CI unless separate evidence says otherwise."
vercel,deployment,artifacts/rentrix/vercel.json,.migration-backup/vercel.json,,KEEP_CURRENT,"Do not change deployment config."
pwa,manifest,artifacts/rentrix/public/manifest.json,.migration-backup/public/manifest.json,,KEEP_CURRENT,"Current PWA build passed."

