feature,historical_path,current_or_target_path,classification,dependencies,schema_assumptions,permission_assumptions,required_adaptations,effort,reason
properties,.migration-backup/src/ui/Properties.tsx,artifacts/rentrix/src/features/properties,KEEP_NEW,"useApp/dataService","properties; units","authenticated","None now","LOW","Current properties are canonical."
tenants,.migration-backup/src/ui/Tenants.tsx,artifacts/rentrix/src/features/tenants,KEEP_NEW,"useApp/dataService","tenants/people","authenticated","None now","LOW","Current tenants/people model is canonical."
contracts,.migration-backup/src/ui/Contracts.tsx,artifacts/rentrix/src/features/contracts,KEEP_NEW,"useApp/dataService","contracts","authenticated","None now","LOW","Current contracts are substantial and tested."
assistant,.migration-backup/src/ui/SmartAssistant.tsx,artifacts/rentrix/src/features/assistant,REFERENCE_ONLY,"shared SmartAssistant","broad app data","privileged","Security/key review; reimplement","HIGH","Do not port AI data exposure blindly."
assistant,.migration-backup/src/services/geminiService.ts,artifacts/rentrix/src/features/assistant/assistant-service.ts,REFERENCE_ONLY,"Google genAI","broad app data","privileged","New service design required","HIGH","Environment and data exposure risk."
printing,.migration-backup/src/components/print/PrintTemplate.tsx,artifacts/rentrix/src/features/printing,MERGE,"print layout; settings","documents/templates","authenticated","Sanitize and adapt to current DTOs","MEDIUM","Useful print layout."
printing,.migration-backup/src/services/pdfService.ts,artifacts/rentrix/src/features/printing/pdf-service.ts,MERGE,"jspdf; autotable","document data","authenticated","Use current deps and tests","MEDIUM","Reusable but needs security review."
documents,.migration-backup/src/services/documents/DocumentEngine.ts,artifacts/rentrix/src/features/documents/document-engine.ts,REFERENCE_ONLY,"document renderer/controller","documents; attachments","authenticated","Defer until document scope approved","HIGH","Too broad for first port."
documents,.migration-backup/src/components/shared/AttachmentsManager.tsx,artifacts/rentrix/src/features/documents/attachments-manager.tsx,REWRITE_ADAPTER,"attachmentService; UI","attachments/storage","authenticated","Adapt to current storage policy","HIGH","Useful but storage assumptions unknown."
ui,.migration-backup/src/components/ui/Card.tsx,artifacts/rentrix/src/components/ui/card.tsx,KEEP_NEW,"legacy class names","n/a","n/a","None","LOW","Current primitives already exist."
ui,.migration-backup/src/components/ui/Modal.tsx,artifacts/rentrix/src/components/ui/dialog.tsx,KEEP_NEW,"legacy modal","n/a","n/a","None","LOW","Current dialog primitives exist."
ui,.migration-backup/src/components/shared/ActionsMenu.tsx,artifacts/rentrix/src/components/actions-menu.tsx,PORT_OLD,"lucide; callbacks","n/a","feature-specific","Port only when first feature needs it","LOW","Reusable action menu not present in current."
ui,.migration-backup/src/components/shared/ConfirmActionModal.tsx,artifacts/rentrix/src/components/confirm-action-dialog.tsx,PORT_OLD,"modal/buttons","n/a","feature-specific","Adapt to current dialog/buttons","LOW","Useful for audit/restore if later enabled."
utils,.migration-backup/src/utils/helpers.ts,artifacts/rentrix/src/lib/formatters.ts,MERGE,"format/export helpers","n/a","n/a","Extract only pure helpers not already present","LOW","Avoid duplicating formatters."
utils,.migration-backup/src/utils/migrateAttachments.ts,none,DISCARD,"data migration helper","attachments","admin","Do not port without explicit migration task","HIGH","Audit forbids schema/data mutation."
database,.migration-backup/supabase/migrations,none,REFERENCE_ONLY,"SQL migrations","many tables/RPCs","admin/service role","Use only for future schema verification; do not execute","HIGH","Recovery evidence, not runtime change."
database,.migration-backup/prisma/schema.prisma,none,REFERENCE_ONLY,"Prisma","database schema","n/a","Reference only","LOW","Current app is Supabase typed client, not Prisma."
ci,.migration-backup/.github/workflows/ci.yml,.github,DISCARD,"old CI scripts","n/a","n/a","Do not port","LOW","Current CI must be preserved."
pwa,.migration-backup/public/manifest.json,artifacts/rentrix/public/manifest.json,KEEP_NEW,"PWA manifest","n/a","n/a","None","LOW","Current PWA build passed."

