sha	status	reason	subject
620ae59a6798bc53b606ace62bcdf6830eccaec6	PASS	install + CI-equivalent passed	Merge branch 'main' into codex/fix-ci-schema-drift-check
daa1146070b9428b2cd5ccafb9fc46084811783e	PASS	install + CI-equivalent passed	Codex/fix ci schema drift check (#157)
40fdb1c435f2875f92ce8b33ef3478465f18f258	PASS	install + CI-equivalent passed	ع (#158)
80e61343faa8f2d8c1ef0bf53579db428e904213	PASS	install + CI-equivalent passed	ع (#158) (#159)
f55df714f107a3eaf04e76b8653fde52a71369e6	PASS	install + CI-equivalent passed	نتت (#160)
e6e1298f9326c63f4a71a5f145f710cadf8f5ad6	PASS	install + CI-equivalent passed	نتت (#160) (#161)
682fc8aa8d02bc412cb683ea412027ad16dc99b8	PASS	install + CI-equivalent passed	Merge branch 'main' into codex/fix-missing-project-reference-for-supabase-link
61c008c27817851d7d078f405bee4fab14e77fbd	PASS	install + CI-equivalent passed	Codex/fix missing project reference for supabase link (#162)
f0b66cf5fd4c672b16714d936cca7b3ffe5ad5ac	PASS	install + CI-equivalent passed	Fix CI secret checks in workflow condition
d7f2cecc70520cd858568180365fe8d78a4bc034	PASS	install + CI-equivalent passed	Fix invalid GitHub Actions secrets usage in CI workflow (#163)
781122b75f27c5c3378eafc289cbccc4d194c30f	PASS	install + CI-equivalent passed	ci: pass db password to supabase link step
80c63b38f697a5e2e8740de5bfe42ae3d2b048dd	PASS	install + CI-equivalent passed	ci: restore Supabase DB password env for link step (#164)
